,name,city,state,score,rank,TLR_SS Score (Max 15.00),TLR_FSR Score (Max 15.00),TLR_FQE Score (Max 10.00),TLR_FRU Score (Max 10.00),RP_PU Score (Max 10.00),RP_QP Score (Max 10.00),RP_IPR Score (Max 10.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 10.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 10.00),GO_GPHD Score (Max 10.00),OI_RD Score (Max 4.00),OI_WD Score (Max 4.00),OI_ESCS Score (Max 4.00),OI_PCS Score (Max 3.00),PR Score (Max 15.00)
90,Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,48.64,91,16.14,22.35,16.21,,,,,,,1.98,57.08,10.65,19.76,29.41,2.02,20.0,9.37
91,National Institute of Technology Silchar,Silchar,Assam,48.55,92,11.85,17.14,13.88,,,17.59,15.96,,,5.15,60.0,9.93,13.2,15.69,7.53,20.0,5.37
92,National Institute of Technology Durgapur,Durgapur,West Bengal,48.29,93,11.5,17.99,14.83,,,14.29,12.67,,,4.28,60.0,11.05,14.29,13.91,9.78,20.0,11.24
93,Gujarat University,Ahmedabad,Gujarat,48.16,94,12.99,25.0,15.72,,,,,,,1.92,60.0,21.99,7.0,30.0,0.0,20.0,4.09
94,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,48.12,95,,25.0,19.22,12.71,,10.02,10.66,,,3.71,54.37,5.37,17.98,26.78,2.03,20.0,4.09
95,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,48.1,96,12.62,24.74,17.85,12.51,,,,,,3.26,60.0,2.46,9.78,30.0,3.21,20.0,8.21
96,Acharya Nagarjuna University,Guntur,Andhra Pradesh,47.73,97,14.97,20.78,15.46,,,,,,,1.58,60.0,22.97,7.4,30.0,7.6,20.0,2.32
97,Tata Institute of Social Sciences,Mumbai,Maharashtra,47.56,98,11.72,24.03,16.74,10.47,,,,,,2.22,59.98,11.51,19.99,30.0,2.2,20.0,11.96
98,All India Institute of Medical Sciences Patna,Patna,Bihar,47.55,99,,25.0,15.7,19.25,,,,,,3.54,60.0,0.0,14.72,28.48,2.88,20.0,19.19
99,Periyar University,Salem,Tamil Nadu,47.43,100,,24.68,17.74,,,11.7,12.09,,,4.73,57.12,12.46,0.5,30.0,9.37,20.0,2.32
