,name,city,state,score,rank,TLR_SS Score (Max 15.00),TLR_FSR Score (Max 15.00),TLR_FQE Score (Max 10.00),TLR_FRU Score (Max 10.00),RP_PU Score (Max 10.00),RP_QP Score (Max 10.00),RP_IPR Score (Max 10.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 10.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 10.00),GO_GPHD Score (Max 10.00),OI_RD Score (Max 4.00),OI_WD Score (Max 4.00),OI_ESCS Score (Max 4.00),OI_PCS Score (Max 3.00),PR Score (Max 15.00)
47,Birla Institute of Technology,Ranchi,Jharkhand,54.18,48,13.49,29.9,17.05,15.49,18.69,18.23,1.25,1.04,27.47,14.72,14.88,,11.99,19.05,1.41,20.0,19.04
48,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,54.17,49,12.26,21.69,13.92,16.14,19.27,18.03,1.25,1.07,34.06,14.31,13.21,10.69,11.42,16.16,7.18,20.0,31.85
49,Lovely Professional University,Phagwara,Punjab,54.16,50,18.0,21.78,12.22,,16.53,23.41,13.0,0.08,26.55,15.0,11.47,,24.81,19.39,2.9,20.0,21.83
50,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,53.13,51,8.95,30.0,16.44,22.43,11.54,10.06,1.0,0.92,33.23,14.07,15.87,,18.49,17.97,4.63,20.0,32.27
51,Graphic Era University,Dehradun,Uttarakhand,52.96,52,12.7,26.11,14.25,13.33,17.13,17.69,8.0,0.59,22.76,14.59,11.31,,17.99,27.14,,20.0,30.99
52,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,52.85,53,13.18,28.45,19.47,9.64,27.22,27.58,5.0,0.2,10.58,14.42,8.61,,15.86,23.64,4.63,20.0,0.9
53,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,52.54,54,11.45,16.88,1.74,18.84,16.03,16.83,0.75,2.27,34.76,15.0,18.56,,21.86,9.87,6.62,20.0,33.72
54,National Institute of Technology Patna,Patna,Bihar,52.28,55,12.35,20.29,13.73,14.54,20.08,21.08,1.5,1.21,37.86,15.0,14.34,,10.1,11.45,8.25,20.0,10.42
55,Manipal Institute of Technology,Manipal,Karnataka,52.12,56,15.12,27.16,14.39,10.92,16.35,19.98,1.0,0.12,24.46,15.0,13.33,,18.02,21.07,1.14,20.0,30.56
56,Netaji Subhas University of Technology (NSUT),Delhi,Delhi,51.52,57,15.04,29.13,15.34,12.13,10.92,13.53,1.0,0.35,33.87,15.0,18.85,,9.57,19.21,0.98,20.0,23.16
57,Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,51.11,58,14.1,27.63,13.33,12.1,16.39,18.7,2.0,0.27,26.39,13.52,13.66,,12.47,20.37,7.37,20.0,16.97
58,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,51.04,59,12.96,21.27,13.88,14.91,18.32,18.0,2.25,1.05,31.87,14.6,13.66,,11.81,18.64,4.43,20.0,13.5
59,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,50.65,60,16.01,15.21,10.56,16.74,16.55,17.13,1.5,1.4,34.91,15.0,17.22,,13.08,11.45,8.41,20.0,18.17
60,Indian Institute of Technology Tirupati,YERPEDU,Andhra Pradesh,50.58,61,8.32,30.0,17.4,23.35,8.01,9.6,0.5,2.6,32.7,13.77,17.01,,14.63,10.91,7.56,20.0,25.2
61,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,50.53,62,7.98,29.89,17.91,23.66,11.38,12.6,0.0,3.29,26.2,14.5,17.86,,20.11,9.25,3.51,20.0,12.16
62,Defence Institute of Advanced Technology,Pune,Maharashtra,50.37,63,4.86,30.0,18.15,21.08,13.89,13.45,1.0,7.09,22.86,10.95,20.67,,13.66,22.93,0.0,20.0,4.73
63,Indian Institute of Technology Palakkad,Palakkad,Kerala,50.24,64,,30.0,16.52,21.19,9.1,8.79,0.5,2.99,30.26,15.0,16.55,,19.03,20.78,5.63,20.0,22.36
64,"Manipal University, Jaipur",Jaipur,Rajasthan,50.24,64,14.67,29.39,16.48,10.01,14.79,16.28,6.0,0.4,25.03,15.0,11.24,,22.52,26.16,0.09,20.0,4.73
65,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,50.05,66,16.53,26.04,14.41,10.06,16.77,16.85,4.0,0.56,22.69,13.33,9.45,,22.74,27.08,0.52,20.0,12.83
66,PSG College of Technology,Coimbatore,Tamil Nadu,49.92,67,14.62,28.89,14.8,9.88,10.12,11.93,2.25,0.26,30.04,15.0,11.63,,0.94,23.95,1.88,20.0,54.15
67,National Institute of Technology Meghalaya,Shillong,Meghalaya,49.82,68,6.64,29.59,17.9,17.79,15.88,13.56,0.5,2.45,30.49,12.9,14.13,,11.02,18.73,11.44,20.0,3.49
