,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 25.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 20.00),RP_PU Score (Max 15.00),RP_QP Score (Max 35.00),RP_IPR Score (Max 35.00),RP_FPPP Score (Max 15.00),GO_GPH Score (Max 15.00),GO_GUE Score (Max 60.00),GO_MS Score (Max 40.00),GO_GPHD Score (Max 30.00),OI_RD Score (Max 30.00),OI_WD Score (Max 20.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 100.00),PR Score (Max None)
66,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.09,67,13.41,24.33,14.44,,0.0,13.1,14.01,1.5,1.26,60.0,5.82,16.51,26.07,2.48,20.0,23.57,
67,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,48.05,68,11.8,18.41,14.4,9.22,0.0,15.84,15.25,6.0,2.49,60.0,10.53,13.51,17.75,3.35,20.0,6.29,
68,Cochin University of Science and Technology,Cochin,Kerala,48.02,69,12.0,20.28,16.01,8.77,0.0,15.98,13.78,1.5,1.31,60.0,13.37,0.87,30.0,0.76,20.0,13.02,
69,University of Madras,Chennai,Tamil Nadu,48.01,70,11.35,21.57,16.16,7.5,0.0,15.42,15.19,0.5,1.23,54.93,16.36,3.28,29.13,0.0,20.0,18.45,
70,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,47.97,71,15.0,14.81,11.92,12.32,0.0,10.46,10.28,1.0,4.07,60.0,25.7,1.19,28.21,4.34,20.0,15.04,
71,National Institute of Technology Durgapur,Durgapur,West Bengal,47.9,72,11.8,18.35,14.94,8.86,0.0,17.21,16.23,1.0,0.72,60.0,10.09,14.2,12.96,9.98,20.0,14.24,
72,Gujarat University,Ahmedabad,Gujarat,47.72,73,12.94,25.0,15.84,8.98,2.0,5.28,6.79,1.5,4.81,60.0,23.3,7.39,30.0,0.0,20.0,3.78,
73,Jamia Hamdard,New Delhi,Delhi,47.5,74,14.39,20.27,14.44,7.83,0.0,12.21,15.34,0.5,2.4,60.0,10.35,14.03,28.34,0.56,18.0,12.18,
74,King George`s Medical University,Lucknow,Uttar Pradesh,47.0,75,7.2,25.0,15.64,18.49,0.0,12.43,12.49,0.0,1.39,60.0,3.36,6.49,26.37,2.97,20.0,9.57,
75,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,46.76,76,12.05,25.0,18.31,14.43,0.0,6.14,10.31,1.0,1.76,60.0,4.27,11.26,30.0,0.04,20.0,10.89,
